ID	Hits	Length	Normalized	Product
mal_mito_2	1	1437	0.000695894224078	cytochromecoxidasesubunitI(cox1)
PF3D7_0100100	10	6492	0.00154035736291	erythrocytemembraneprotein1,PfEMP1(VAR)
PF3D7_0100300	9	3984	0.00225903614458	erythrocytemembraneprotein1,PfEMP1(VAR)
PF3D7_0100600	1	1080	0.000925925925926	rifin(RIF)
PF3D7_0101000	2	1077	0.00185701021356	rifin(RIF)
PF3D7_0101400	2	828	0.0024154589372	RESA-likeprotein,pseudogene
PF3D7_0101500	1	1647	0.000607164541591	erythrocytemembraneprotein1(PfEMP1),exon2,pseudogene(VAR)
PF3D7_0101700	4	1359	0.00294334069169	erythrocytemembraneprotein1(PfEMP1),exon2,pseudogene(varpseudogene,exon2)
PF3D7_0101800	1	870	0.00114942528736	stevor
PF3D7_0102100	2	846	0.00236406619385	stevor,pseudogene
PF3D7_0102200	11	3258	0.00337630448128	ring-infectederythrocytesurfaceantigen(RESA)
PF3D7_0102400	1	1152	0.000868055555556	lysophospholipase,putative,pseudogene
PF3D7_0102500	3	4704	0.000637755102041	erythrocytebindingantigen-181(EBA181)
PF3D7_0102600	5	1893	0.0026413100898	serine/threonineproteinkinase,FIKKfamily(FIKK1)
PF3D7_0102800	1	1824	0.000548245614035	conservedPlasmodiumprotein,unknownfunction
PF3D7_0102900	2	1881	0.00106326422116	aspartate--tRNAligase
PF3D7_0103000	2	780	0.0025641025641	vacuolarproteinsorting-associatedproteinVTA1,putative
PF3D7_0103100	19	4905	0.00387359836901	conservedPlasmodiumprotein,unknownfunction
PF3D7_0103200	1	1305	0.000766283524904	nucleosidetransporter4(NT4)
PF3D7_0103300	5	2757	0.00181356546971	conservedPlasmodiumprotein,unknownfunction
PF3D7_0103400	9	4863	0.00185070943862	zinc-carboxypeptidase,putative
PF3D7_0103500	6	5472	0.00109649122807	conservedPlasmodiumprotein,unknownfunction
PF3D7_0103600	3	4605	0.000651465798046	ATP-dependentRNAhelicase,putative
PF3D7_0103900	1	1728	0.000578703703704	parasite-infectederythrocytesurfaceprotein(PIEPS15)
PF3D7_0104200	3	1401	0.00214132762313	conservedPlasmodiumprotein,unknownfunction
PF3D7_0104300	28	10500	0.00266666666667	ubiquitincarboxyl-terminalhydrolase1,putative(UBP1)
PF3D7_0104400	3	1608	0.00186567164179	4-hydroxy-3-methylbut-2-enyldiphosphatereductase(LytB)
PF3D7_0104600	4	4020	0.000995024875622	conservedPlasmodiumprotein,unknownfunction
PF3D7_0104700	3	2136	0.00140449438202	transporter,putative
PF3D7_0104800	1	1734	0.000576701268743	novelputativetransporter1(NPT1)
PF3D7_0105300	1	489	0.00204498977505	cyclase-associatedprotein,putative(CAP)
PF3D7_0105400.1	1	423	0.00236406619385	conservedPlasmodiumprotein,unknownfunction
PF3D7_0105400.2	1	402	0.00248756218905	conservedPlasmodiumprotein,unknownfunction
PF3D7_0105500	1	1035	0.000966183574879	conservedPlasmodiumprotein,unknownfunction
PF3D7_0105600	8	3675	0.0021768707483	conservedPlasmodiumprotein,unknownfunction
PF3D7_0105700	8	9192	0.000870322019147	asparagine-richantigenPfa35-2
PF3D7_0105800	2	2499	0.000800320128051	conservedPlasmodiumprotein,unknownfunction
PF3D7_0105900	1	1347	0.000742390497402	DNAbindingprotein,putative
PF3D7_0106000	6	2769	0.00216684723727	conservedPlasmodiumprotein,unknownfunction
PF3D7_0106100	2	1152	0.00173611111111	vacuolarATPsynthasesubunitc,putative
PF3D7_0106300	3	3687	0.000813669650122	calcium-transportingATPase(ATP6)
PF3D7_0106400	1	471	0.00212314225053	pre-rRNA-processingproteinTSR2,putative
PF3D7_0106500	9	4236	0.00212464589235	conservedPlasmodiumprotein,unknownfunction
PF3D7_0106600	3	900	0.00333333333333	conservedPlasmodiumprotein,unknownfunction
PF3D7_0106700	63	4305	0.0146341463415	smallribosomalsubunitassemblingAARP2protein(AARP2)
PF3D7_0107000	3	507	0.00591715976331	centrin-1(CEN1)
PF3D7_0107100	1	1632	0.000612745098039	conservedPlasmodiumprotein,unknownfunction
PF3D7_0107200	1	1014	0.000986193293886	carboncataboliterepressorprotein4,putative
PF3D7_0107500	17	4413	0.00385225470202	lipid/sterol:Hsymporter
PF3D7_0107800	7	3702	0.00189086980011	DNArepairexonucleaseMre11,putative
PF3D7_0108000	1	657	0.00152207001522	beta3proteasomesubunit,putative
PF3D7_0108300	54	6666	0.00810081008101	conservedPlasmodiumprotein,unknownfunction
PF3D7_0108700	6	3459	0.00173460537728	secretedookineteprotein,putative(PSOP24)
PF3D7_0109100	4	3090	0.00129449838188	LCCLdomain-containingprotein(CCp5)
PF3D7_0109400	1	501	0.00199600798403	tubulin-specificchaperonea,putative
PF3D7_0109800	5	1728	0.00289351851852	phenylalanine--tRNAligase,putative
PF3D7_0109900.1	2	2286	0.00087489063867	phosphatidatecytidylyltransferase,putative
PF3D7_0109900.2	2	2085	0.000959232613909	phosphatidatecytidylyltransferase,putative
PF3D7_0110000	2	705	0.00283687943262	conservedPlasmodiumprotein,unknownfunction
PF3D7_0110100	4	2805	0.00142602495544	selenocysteine-specificelongationfactorselBhomologue,putative
PF3D7_0110400	6	750	0.008	DNA-directedRNApolymerase2,putative
PF3D7_0110500	17	6858	0.00247885680957	bromodomainprotein,putative
PF3D7_0110600	27	5133	0.0052600818235	phosphatidylinositol-4-phosphate5-kinase(PIP5K)
PF3D7_0110700	3	1341	0.00223713646532	chromatinassemblyfactor1proteinWD40domain,putative
PF3D7_0110900	1	561	0.0017825311943	adenylatekinase-likeprotein1(AKLP1)
PF3D7_0111000	6	4995	0.0012012012012	kinesin-8,putative
PF3D7_0111500	1	1116	0.00089605734767	UMP-CMPkinase,putative
PF3D7_0111600	1	747	0.00133868808568	conservedPlasmodiumprotein,unknownfunction
PF3D7_0111800	1	1863	0.000536768652711	conservedPlasmodiumprotein,unknownfunction
PF3D7_0112100	1	492	0.0020325203252	conservedPlasmodiumprotein,unknownfunction
PF3D7_0112200	5	5469	0.000914243920278	multidrugresistance-associatedprotein1(MRP1)
PF3D7_0112400	1	394	0.00253807106599	unspecifiedproduct
PF3D7_0113000	34	2022	0.0168150346192	glutamicacid-richprotein(GARP)
PF3D7_0113100	8	4668	0.00171379605827	surface-associatedinterspersedprotein1.1(SURFIN1.1)(SURF1.1)
PF3D7_0113200	4	1779	0.00224845418775	Plasmodiumexportedprotein,unknownfunction
PF3D7_0113300	1	1755	0.000569800569801	Plasmodiumexportedprotein(hyp1),unknownfunction
PF3D7_0113400	1	1296	0.000771604938272	Plasmodiumexportedprotein,unknownfunction
PF3D7_0113600	16	5682	0.00281590989088	surface-associatedinterspersedprotein1.2(SURFIN1.2),pseudogene(SURF1.2)
PF3D7_0113700	1	1209	0.000827129859388	heatshockprotein40,typeII(HSP40)
PF3D7_0113800	29	8703	0.00333218430426	DBLcontainingprotein,unknownfunction
PF3D7_0114000	19	4392	0.00432604735883	RESA-likeproteinwithDnaJdomain,putative(GEXP06)
PF3D7_0114100	1	690	0.00144927536232	Pfmc-2TMMaurer'sclefttwotransmembraneprotein(MC-2TM)
PF3D7_0114200	2	1044	0.00191570881226	Plasmodiumexportedprotein(hyp4),unknownfunction
PF3D7_0114400	2	1380	0.00144927536232	erythrocytemembraneprotein1(PfEMP1),exon2,pseudogene(VAR)
PF3D7_0114500	1	333	0.003003003003	Plasmodiumexportedprotein(hyp10),unknownfunction
PF3D7_0114600	3	939	0.00319488817891	stevor,pseudogene
PF3D7_0114700	1	972	0.00102880658436	rifin(RIF)
PF3D7_0115000	14	5778	0.00242298373139	surface-associatedinterspersedprotein1.3(SURFIN1.3)(SURF1.3)
PF3D7_0115300	1	1011	0.000989119683482	rifin(RIF)
PF3D7_0115400	3	906	0.00331125827815	stevor
PF3D7_0115500	2	1299	0.00153964588145	erythrocytemembraneprotein1(PfEMP1),pseudogene
PF3D7_0115700	7	6612	0.00105868118572	erythrocytemembraneprotein1,PfEMP1(VAR)
PF3D7_0200100	2	5136	0.000389408099688	erythrocytemembraneprotein1,PfEMP1(VAR)
PF3D7_0200200	2	1005	0.00199004975124	rifin(RIF)
PF3D7_0200300	1	1323	0.000755857898715	erythrocytemembraneprotein1(PfEMP1),exon2
PF3D7_0200400	2	915	0.00218579234973	stevor
PF3D7_0200600	2	1128	0.00177304964539	rifin(RIF)
PF3D7_0200800	4	1068	0.00374531835206	erythrocytemembraneprotein1(PfEMP1),truncated
PF3D7_0200900	1	894	0.00111856823266	stevor,pseudogene
PF3D7_0201000	1	939	0.0010649627263	rifin(RIF)
PF3D7_0201300	2	918	0.00217864923747	stevor
PF3D7_0201400	1	471	0.00212314225053	Plasmodiumexportedprotein(hyp10),unknownfunction
PF3D7_0201600	5	1458	0.00342935528121	Plasmodiumexportedprotein(PHISTb),unknownfunction
PF3D7_0201700	14	2703	0.00517943026267	DnaJprotein,putative
PF3D7_0201800	4	1266	0.00315955766193	knobassociatedheatshockprotein40(KAHsp40)
PF3D7_0201900	8	7326	0.001092001092	erythrocytemembraneprotein3(EMP3)
PF3D7_0202000	9	1965	0.00458015267176	knob-associatedhistidine-richprotein(KAHRP)
PF3D7_0202200	1	873	0.00114547537228	Plasmodiumexportedprotein,unknownfunction
PF3D7_0202400	30	3579	0.00838222967309	conservedPlasmodiumprotein,unknownfunction
PF3D7_0202600.1	5	4026	0.00124192747144	conservedPlasmodiumprotein,unknownfunction
PF3D7_0202600.2	5	4023	0.00124285359185	conservedPlasmodiumprotein,unknownfunction
PF3D7_0203000	5	5940	0.000841750841751	conservedPlasmodiumprotein,unknownfunction
PF3D7_0203100	13	7458	0.00174309466345	proteinkinase,putative
PF3D7_0203200	4	1524	0.00262467191601	conservedPlasmodiumprotein,unknownfunction
